id,cntntsNo,cntntsSj,rtnFileUrl,rtnThumbFileUrl,growthAra,growthHg,grwhTp,minTp,maxTp,grwtve,hd,minHd,maxHd,ignSeasonCode,ignSeason,lighttdemanddo,minLt,maxLt,managedemanddo,minPstPlc,maxPstPlc,toxcty,watercycleSprng,watercycleSummer,watercycleAutumn,watercycleWinter,minWinterTp,maxWinterTp,winterLwetTp
22,13218,뉴기니아봉선화,https://nongsaro.go.kr/cms_contents/301/13218_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/13218_MF_ATTACH_01_TMB.jpg,30,30,21~25℃,21,25,1,40% 미만,,40,1110,"봄, 여름, 가을",800~10000 Lux,800,10000,2,0,300,0,2,2,3,4,13,,13℃ 이상
23,13333,대만고무나무,https://nongsaro.go.kr/cms_contents/301/13333_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/13333_MF_REPR_ATTACH_01_TMB.jpg,100,200,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,500,0,3,3,3,4,13,,13℃ 이상
24,13335,더피고사리,https://nongsaro.go.kr/cms_contents/301/13335_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/13335_MF_REPR_ATTACH_01_TMB.jpg,30,30,16~20℃,16,20,0,70% 이상,70,,0000,,800~10000 Lux,800,10000,1,0,500,0,2,2,2,3,13,,13℃ 이상
25,13336,덕구리난,https://nongsaro.go.kr/cms_contents/301/13336_MF_ATTACH_05.jpg,https://nongsaro.go.kr/cms_contents/301/13336_MF_ATTACH_05_TMB.jpg,40,100,21~25℃,21,25,0,40% 미만,,40,0000,,1500~10000 Lux,1500,10000,1,0,300,0,3,3,3,4,13,,13℃ 이상
26,13337,데코라고무나무,https://nongsaro.go.kr/cms_contents/301/13337_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/13337_MF_ATTACH_01_TMB.jpg,100,200,21~25℃,21,25,2,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,300,4,3,3,3,4,13,,13℃ 이상
27,13338,덴파레,https://nongsaro.go.kr/cms_contents/301/13338_MF_ATTACH_04.jpg,https://nongsaro.go.kr/cms_contents/301/13338_MF_ATTACH_04_TMB.jpg,30,50,21~25℃,21,25,0,40 ~ 70%,40,70,1111,"봄, 여름, 가을, 겨울",1500~10000 Lux,1500,10000,2,0,300,0,4,4,4,4,13,,13℃ 이상
28,13339,도깨비고비,https://nongsaro.go.kr/cms_contents/301/13339_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/13339_MF_ATTACH_01_TMB.jpg,30,30,16~20℃,16,20,1,40% 미만,,40,0000,,300~1500 Lux,300,1500,1,0,,0,2,2,2,3,,0,0℃ 이하
29,13340,돈나무,https://nongsaro.go.kr/cms_contents/301/13340_MF_ATTACH_07.jpg,https://nongsaro.go.kr/cms_contents/301/13340_MF_ATTACH_07_TMB.jpg,50,100,16~20℃,16,20,1,40 ~ 70%,40,70,1000,봄,800~10000 Lux,800,10000,1,0,300,3,3,3,3,4,,0,0℃ 이하
30,14663,동백,https://nongsaro.go.kr/cms_contents/301/14663_MF_ATTACH_05.jpg,https://nongsaro.go.kr/cms_contents/301/14663_MF_ATTACH_05_TMB.jpg,100,200,16~20℃,16,20,0,40 ~ 70%,40,70,1001,"봄, 겨울",1500~10000 Lux,1500,10000,3,0,300,0,3,3,3,4,,0,0℃ 이하
31,14674,둥근잎 아랄리아,https://nongsaro.go.kr/cms_contents/301/14674_MF_ATTACH_05.jpg,https://nongsaro.go.kr/cms_contents/301/14674_MF_ATTACH_05_TMB.jpg,60,150,21~25℃,21,25,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,500,0,3,3,3,4,13,,13℃ 이상
32,14675,듀란타,https://nongsaro.go.kr/cms_contents/301/14675_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/14675_MF_ATTACH_01_TMB.jpg,100,100,21~25℃,21,25,1,40 ~ 70%,40,70,1100,"봄, 여름",1500~10000 Lux,1500,10000,3,0,300,0,3,3,3,4,13,,13℃ 이상
33,14676,드라세나 송오브자마이카,https://nongsaro.go.kr/cms_contents/301/14676_MF_ATTACH_05.jpg,https://nongsaro.go.kr/cms_contents/301/14676_MF_ATTACH_05_TMB.jpg,50,150,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,2,0,500,0,3,3,3,4,5,5,5℃
34,14687,드라세나 와네끼,https://nongsaro.go.kr/cms_contents/301/14687_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/14687_MF_ATTACH_01_TMB.jpg,70,150,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,2,0,500,3,3,3,3,4,13,,13℃ 이상
35,14694,드라세나 송오브인디아,https://nongsaro.go.kr/cms_contents/301/14694_MF_ATTACH_01.gif,https://nongsaro.go.kr/cms_contents/301/14694_MF_ATTACH_01_TMB.gif,50,150,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,2,0,500,0,2,2,2,4,5,5,5℃
36,14696,드라세나 자바,https://nongsaro.go.kr/cms_contents/301/14696_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/14696_MF_REPR_ATTACH_01_TMB.jpg,100,150,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,2,0,500,0,3,3,3,4,13,,13℃ 이상
